category,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,notes
resource_limits,29,1,1,0,0.97,0.97,0.97,Deterministic CPU and memory limit checks
security_context,37,4,3,0,0.90,0.93,0.91,Privilege and container security validation; includes most false positives
deprecated_apis,28,0,2,0,1.00,0.93,0.97,API version validation is highly deterministic
rbac,22,2,8,0,0.92,0.73,0.82,Cross-resource rules excluded; lower recall expected
overall,116,7,14,0,0.94,0.89,0.91,Aggregate across evaluated categories (excluding networking)
