category,guardon_precision,guardon_recall,guardon_f1,opa_precision,opa_recall,opa_f1,notes
Resource Limits,0.97,0.95,0.96,0.96,0.97,0.97,Deterministic resource-local checks
Security Context,0.94,0.93,0.94,0.95,0.95,0.95,Privilege and container security context checks
Deprecated APIs,1.00,0.94,0.97,0.98,0.91,0.95,API version validation
RBAC,0.91,0.78,0.84,0.93,0.93,0.93,GuardOn excludes cross-resource cluster-context checks
Overall,0.95,0.90,0.93,0.96,0.94,0.95,Aggregate across 160-manifest corpus
